date,open,high,low,close,volume
2018-03-28,7942.73,7957.0,7600.0,7600.0,3043.90154769
2018-03-29,7080.0,7149.0,6630.1,6704.79,9896.52251784
2018-03-30,6848.01,7138.0,6848.0,7020.0,4716.49588421
2018-03-31,6928.5,7044.46,6900.0,6938.72,1569.71516108
2018-04-01,6938.71,6986.85,6450.0,6816.01,13082.57983908
2018-04-02,7045.01,7370.0,7016.8,7370.0,5567.82849558
2018-04-03,7370.0,7520.0,7265.14,7424.9,11531.26896486
2018-04-04,6791.68,6845.0,6568.64,6780.02,4766.21617441
2018-04-05,6780.02,6933.11,6631.0,6785.85,9066.45259759
2018-04-06,6619.01,6900.0,6605.08,6842.4,2763.13817852
2018-04-07,6894.01,6990.0,6894.0,6969.0,1139.74652072
2018-04-08,7020.01,7163.03,7020.0,7135.13,2735.15427233
2018-04-09,6771.14,6798.07,6714.46,6760.24,1104.6745111
2018-04-10,6825.0,6849.0,6806.01,6827.98,1200.2786947
2018-04-11,6943.0,6960.0,6901.0,6960.0,2211.91112365
2018-04-12,7915.99,7972.17,7760.0,7814.0,4775.60868749
2018-04-13,7813.65,8220.0,7766.91,7893.19,16105.67913374
2018-04-14,8003.12,8150.0,8003.11,8105.15,2134.4418466
2018-04-15,8355.24,8398.98,8100.0,8138.78,4713.72952237
2018-04-16,8138.78,8138.79,7905.99,8048.93,7952.95012794
2018-04-17,7892.11,7949.12,7880.01,7924.99,1306.66258523
2018-04-18,8152.05,8268.9,8101.47,8185.22,3159.7774331
2018-04-19,8274.0,8398.8,8255.19,8260.0,3320.72389839
2018-04-20,8259.99,8932.57,8216.21,8866.27,11451.26175356
2018-04-21,8848.0,9038.87,8610.7,8915.42,8965.9103554
2018-04-22,8795.0,8888.0,8775.1,8855.0,1413.36036067
2018-04-23,8931.31,9271.68,8930.0,9256.55,5220.79402102
2018-04-24,9645.0,9763.49,9140.42,9298.99,9060.01492672
2018-04-25,9298.99,9463.9,8602.43,8865.98,19698.32956551
2018-04-26,9272.12,9296.72,9120.01,9203.02,2307.70070801
2018-04-27,8922.56,9173.58,8863.42,9121.82,1587.2990744
2018-04-28,9121.82,9440.01,9070.01,9329.99,6769.05277763
2018-04-29,9389.01,9447.0,9250.0,9269.0,2115.73442338
2018-04-30,9269.01,9334.66,9119.0,9243.83,6364.31842716
2018-05-01,9072.29,9093.6,8990.0,9071.99,1521.05171132
2018-05-02,9190.47,9290.0,9131.0,9255.11,2658.49317274
2018-05-03,9255.11,9800.0,9139.27,9725.74,11269.71668517
2018-05-04,9685.0,9850.0,9668.02,9825.05,2398.81485502
2018-05-05,9799.99,9880.0,9783.0,9800.01,1685.86028381
2018-05-06,9600.0,9619.55,9220.01,9309.99,3220.98966771
2018-05-07,9356.25,9463.13,9353.0,9410.57,1686.97789273
2018-05-08,9177.81,9180.31,8960.0,9054.99,2844.12065665
2018-05-09,9300.08,9353.0,9280.0,9291.7,837.4653741
2018-05-10,9010.51,9010.51,8876.0,8948.51,2944.52921858
2018-05-11,8948.51,9005.0,8351.0,8403.33,13498.11115309
2018-05-12,8474.31,8525.0,8345.0,8363.87,1398.71018181
2018-05-13,8686.1,8712.0,8350.0,8377.07,2801.14491009
2018-05-14,8670.0,8750.0,8628.05,8687.03,1769.39548513
2018-05-15,8687.02,8847.0,8420.45,8477.46,8450.9409229
